timestamp,datetime_utc,price,conf
1739872333,2025-02-18T09:52:13+00:00,95661.18364468,31.04364468
1739872334,2025-02-18T09:52:14+00:00,95661.23457887,30.94457887
1739872335,2025-02-18T09:52:15+00:00,95661.15600118,30.576001180000002
1739872336,2025-02-18T09:52:16+00:00,95660.49979799,29.26979799
1739872337,2025-02-18T09:52:17+00:00,95660.4997556,29.5897556
1739872338,2025-02-18T09:52:18+00:00,95660.49344785,31.38344785
1739872339,2025-02-18T09:52:19+00:00,95659.83650651001,32.65963488
1739872340,2025-02-18T09:52:20+00:00,95658.97387017,31.60387017
1739872341,2025-02-18T09:52:21+00:00,95658.97387019,32.89387019
1739872342,2025-02-18T09:52:22+00:00,95656.73315613001,29.06315613
1739872343,2025-02-18T09:52:23+00:00,95657.78547744,30.11547744
1739872344,2025-02-18T09:52:24+00:00,95656.72506265,27.92506265
1739872345,2025-02-18T09:52:25+00:00,95655.7666881,27.5266881
1739872346,2025-02-18T09:52:26+00:00,95653.32620806,29.59911821
1739872347,2025-02-18T09:52:27+00:00,95654.32790951,26.93790951
1739872348,2025-02-18T09:52:28+00:00,95653.18669519,25.51669519
1739872349,2025-02-18T09:52:29+00:00,95653.08918998,25.45720721
1739872350,2025-02-18T09:52:30+00:00,95653.48082231,29.847641160000002
1739872351,2025-02-18T09:52:31+00:00,95652.66483954,31.16430526
1739872352,2025-02-18T09:52:32+00:00,95653.22548262001,30.88697637
1739872353,2025-02-18T09:52:33+00:00,95652.30625435,31.80620464
1739872354,2025-02-18T09:52:34+00:00,95652.62642727,28.70642727
1739872355,2025-02-18T09:52:35+00:00,95652.17478845001,28.28478845
1739872356,2025-02-18T09:52:36+00:00,95653.24569084,29.54569084
1739872357,2025-02-18T09:52:37+00:00,95652.95633505,29.27633505
1739872358,2025-02-18T09:52:38+00:00,95652.85875726001,29.228757260000002
1739872359,2025-02-18T09:52:39+00:00,95653.13267413,29.69267413
1739872360,2025-02-18T09:52:40+00:00,95653.1302764,29.6302764
1739872361,2025-02-18T09:52:41+00:00,95653.79316214,30.22316214
1739872362,2025-02-18T09:52:42+00:00,95653.85253918,27.08253918
1739872363,2025-02-18T09:52:43+00:00,95654.19591797,27.98591797
1739872364,2025-02-18T09:52:44+00:00,95652.87205827,31.5185661
1739872365,2025-02-18T09:52:45+00:00,95652.33034076,33.60123498
1739872366,2025-02-18T09:52:46+00:00,95651.67978462,33.36978462
1739872367,2025-02-18T09:52:47+00:00,95651.40551133,33.14551133
1739872368,2025-02-18T09:52:48+00:00,95651.50754056001,33.62754056
1739872369,2025-02-18T09:52:49+00:00,95649.62835473,29.43835473
1739872370,2025-02-18T09:52:50+00:00,95650.67763511,29.73061338
1739872371,2025-02-18T09:52:51+00:00,95651.81269151,30.73515197
1739872372,2025-02-18T09:52:52+00:00,95653.32027547,28.44426435
1739872373,2025-02-18T09:52:53+00:00,95653.70366665,26.73142911
1739872374,2025-02-18T09:52:54+00:00,95655.2804488,35.98013636
1739872375,2025-02-18T09:52:55+00:00,95656.59248335,29.18889823
1739872376,2025-02-18T09:52:56+00:00,95657.88388349001,33.42432576
1739872377,2025-02-18T09:52:57+00:00,95658.20393747,33.893506710000004
1739872378,2025-02-18T09:52:58+00:00,95659.62326937,33.28689163
1739872379,2025-02-18T09:52:59+00:00,95660.44501775,32.87354154
1739872380,2025-02-18T09:53:00+00:00,95660.93690469,29.40908593
